Classify,Description
Java,工作经验及能力要求：1、 统招本科及以上学历，计算机及相关专业毕业。2、 熟练Java语言及相关技术，熟悉基础的设计模式，至少一个成熟JAVA项目的研发或运维经验。3、 至少熟悉Oracle、MySql、SQLServer中的一种数据库，能够完成基础SQL的编写，了解简单的SQL优化。对内存数据库有一定了解。4、 熟悉Spring、SpringMVC、Hibernate、MyBatis等开源框架，对RESTFul、WebService、分布式等概念有一定了解。5、 掌握HTML、Javascript、Jquery等前端技术，有前端框架编写经验优先6、 有spring cloud等分布式框架开发经验优先7、 有保险、电商工作经验优先岗位职责：1、 参与系统需求和技术分析，完成负责模块的详细设计与开发；2、 完成分配模块的自测，配合测试人员完成模块BUG修复；3、 保障所负责模块按时上线、稳定运行及相关问题处理；4、 参与架构设计、疑难问题攻克及系统优化；5、 积极学习新技术提升自身实力；6、 完成领导安排的其它工作。
Java,"岗位职责要求职位描述：1. JAVA或者go基础扎实，理解io、多线程、集合等基础框架；对JVM原理有一定的了解；2. 3年及以上使用JAVA或者go开发的经验，对于用过的开源框架，能了解到它的原理和机制；对Spring, iBatis, Struts等开源框架熟悉;3. 熟悉ffmpeg命令行调用优先，有云平台设计和应用开发经验者优先。4. 了解分布式系统的设计和应用，了解分布式、缓存、消息等机制；5. 了解多线程及高性能的设计与编码及性能调优；有高并发应用开发经验优先；6. 掌握Linux 操作系统和大型数据库（Oracle、MySQL）；7. 学习能力强，适应能力好；具备耐心/细心的品质；职位要求：1. 独立完成中小/中大型项目的系统分析、设计，并能够完成核心代码的编写，确保技术方案能够按计划要求，高质量的完成；2. 具有一定的技术设计/架构思维，JAVA 及相关领域建模能力扎实,确保设计的技术方案、开发的代码有较高性能、质量保障、扩展性；3. 对技术有较强的钻研及学习精神，能够深入了解开源技术、现有系统技术等相关技术原理，出现问题时能够通过较强的技术手段较好的解决问题；4.熟悉视频结构化以及相关视频经验优先。"
Java,"岗位职责：1) 负责产品的后端逻辑开发；2) 按照产品要求，完成相应功能的服务端逻辑代码；3）负责产品上线后的维护和优化。任职要求：1)   计算机或相关专业毕业，两年以上Java服务端开发经验；2)   熟悉Spring、MyBatis等常用框架；3)   熟练运用数据库和SQL，了解关系型数据库、非关系型数据库(如MongoDB)；4)   熟悉RabbitMQ、Redis、ElasticSearch等流行技术框架工具者优先；5)   高度的责任心以及良好团队合作精神；6)   熟悉和掌握至少一种源代码管理软件（Git、SVN、CVS）；7)   有API开发经验, NoSQL项目开发经验；8)   有高并发Web项目后端开发和海量数据处理经验。"
Java,岗位职责：1.参与产品方案讨论，技术实现设计和实现开发，并负责相关文档的编写与维护；2.独立完成代码开发，并负责解决相关问题；3.对代码持续优化改进，对技术深入研究；4.参与小程序和微信公众号开发和维护工作 ；5.承担部分运维工作；任职要求：1.本科以上学历，计算机及相关专业；2.Java基础扎实，熟练使用常见设计模式，熟悉常用算法和JVM工作原理；3.熟练使用Spring、SringBoot，SpringCloud等架构，了解其工作原理；4.熟练使用 MyBatis、 Mysql、Redis等数据库技术，并能够编写并优化复杂SOL；5.有运维工作经验；6.有微信小程序和公众号开发经验7.三年及以上JAVA开发经验；8.热爱学习，工作主动性强，具有团队合作精神和责任心。
Java,"岗位职责:1、从事互联网电商行业核心系统的模块功能的设计，开发与实施工作；2、 参与项目系统设计、方案讨论、技术调研与相关技术文档编写；3、 负责软件程序的设计和核心代码开发；4、 解决开发中的技术难题，确保系统性能、质量安全；5、 完成上级领导交办的各项工作。职位描述：1、  统招211本科及以上学历，计算机相关专业，3年以上软件开发经验；2、  JAVA基础知识扎实；熟练掌握J2EE技术体系以及常用框架，对Spring,SpringMVC,Mybatis等开源框架有较为深入的理解，有源代码阅读经验或二次开发经验者优先；3、  熟悉Mysql/sqlServer等数据库，熟悉Linux操作系统；4、  对主流SOA解决方案（如dubbo+zookeeper）有一定程度的理解；5、  熟悉redis/mongodb等至少一种NoSql技术；6、  具备良好的逻辑思维，思路清晰，善于思考，能独立分析和解决问题；注重团队协作，具备良好的沟通协调能力和过人的抗压能力。"
Java,"1、3年以上JAVA开发经验，JAVA基础扎实，理解io、多线程等基础框架，对JVM原理有一定的了解；对复杂业务能有独立分析判断能力2、熟悉Spring,Mybatis,Spring boot,Spring Cloud技术3、能够熟练的使用Mysql,Redis,Rabbitmq,Fastdfs，并对具体问题进行调优4、熟悉Docker镜像打包，Docker网络配置，服务编排5、熟悉Linux基本命令及脚本编写，使用过jenkins等工具6、熟悉前后端分离开发，熟悉对内，外常用接口格式以及加密方式7、逻辑思路清晰，工作积极，自我驱动，持续学习；8、最好具备TMS,WMS系统研发经验优先。"
Java,岗位职责：1.Java类项目开发；2.负责按时按质完成项目经理交给的项目工作任务；3.负责主动了解工作范围边界和需求规格定义，对不明确的地方，**时间主动提出来细化、清晰化；4.负责主动积累、学习完成工作所需的业务知识和技术知识；5.完成上级领导交办的其他工作。任职要求：1.对Java面向对象软件结构有深入理解以及很强的应用能力，精通OO，AOP，设计模式，熟悉多线程并发，网络编程技术;2.掌握 Java 技术栈，包括 Spring [boot/cloud]、Mybatis / Hibernate，Git，Jenkins 等；3.熟悉java web开发，熟悉SERVLET、HTTP、HTML、CSS、JavaScript有一定了解；4.熟练使用oracle等rdms数据库，具有国产数据库、分布式数据经验；5.有分布式开发经验、熟练使用分布式服务框架，消息中间件和分布式存储系统等；6.熟练使用SVN、 Maven、git等项目管理和项目构建工具；7.熟悉应用服务器软件 Tomcac等中间件配置和部署；8.对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力，沟通技能，团队合作能力。
Java,工作职责：-负责社交产品后端功能模块开发-架构优化-数据统计优化-推荐策略优化等职位要求：-大学本科以上学历，2年以上Java开发经验，扎实的Java编程基础，熟悉IO、多线程、集合等基础框架，有高并发经验优先-精通Java Web开发，熟悉Spring、MyBatis、Tomcat等常用框架，了解IOC、AOP原理-熟悉常用数据库，如MySQL，有HBase、Redis或其他NoSQL相关使用经验，有数据库设计经验和性能调优经验优先-熟悉敏捷开发流程，具备分布式系统设计和开发经验优先-熟练使用Linux/Unix，能对系统性能瓶颈进行定位-熟悉常用设计模式，具有较强的问题分析和处理能力，有文档编写能力和良好的代码习惯，热衷技术
Java,"岗位职责要求职位描述：1. JAVA或者go基础扎实，理解io、多线程、集合等基础框架；对JVM原理有一定的了解；2. 3年及以上使用JAVA或者go开发的经验，对于用过的开源框架，能了解到它的原理和机制；对Spring, iBatis, Struts等开源框架熟悉;3. 熟悉ffmpeg命令行调用优先，有云平台设计和应用开发经验者优先。4. 了解分布式系统的设计和应用，了解分布式、缓存、消息等机制；5. 了解多线程及高性能的设计与编码及性能调优；有高并发应用开发经验优先；6. 掌握Linux 操作系统和大型数据库（Oracle、MySQL）；7. 学习能力强，适应能力好；具备耐心/细心的品质；职位要求：1. 独立完成中小/中大型项目的系统分析、设计，并能够完成核心代码的编写，确保技术方案能够按计划要求，高质量的完成；2. 具有一定的技术设计/架构思维，JAVA 及相关领域建模能力扎实,确保设计的技术方案、开发的代码有较高性能、质量保障、扩展性；3. 对技术有较强的钻研及学习精神，能够深入了解开源技术、现有系统技术等相关技术原理，出现问题时能够通过较强的技术手段较好的解决问题；4.熟悉视频结构化以及相关视频经验优先。"
Java,岗位职责：1、在运营领域能独当一面，具有技术牵引驱动业务的能力，能在业务和技术上指导其他同学；2、愿意接受B端业务逻辑复杂性、海量数据、服务高可用的挑战，推动系统可用性和可扩展性的提升；3、具有良好的系统抽象能力，在系统中台能力建设方面能提出创新的解决思路和方案，为团队引入创新技术。岗位要求：1、计算机或相关专业本科以上学历，有扎实的计算机基础知识和编程功底，5年及以上相关工作经验；2、有较强的问题解决能力，根据不同的场景可以给出较优的系统解决方案；3、精通多线程编程，熟悉JVM，熟悉常见的开源分布式中间件、缓存、消息队列等，熟悉MySQL，熟悉大数据处理、olap等，熟悉Linux下的DevOps；4、有较强的团队沟通协作能力和项目风险管理能力，可以push多团队协作按时交付项目；5、有丰富的系统架构设计经验，在一线互联网公司负责B端中台建设经验者优先，业务sense良好者优先。
